url_len,url_num_hyphens_dom,url_num_dom_token,url_path_len,url_filename_len,url_longest_dom_token_len,url_average_dom_token_len,url_tld,url_domain_len,url_hostname_len,url_num_dots,url_num_underscores,url_num_equals,url_num_slashes,url_num_dash,url_num_semicolon,url_num_at,url_num_percent,url_num_plus,url_query_len,url_num_query_para,url_ip_present,url_entropy,url_count_consonants,url_num_digits,url_chinese_present,url_port,url_has_https,url_has_ip_address,url_num_subdomains,url_has_suspicious_words,url_length_category,url_has_port_in_url,url_num_special_chars,url_num_params,url_num_fragments,url_starts_with_www,url_is_shortened,url_has_email,html_num_tags('iframe'),html_num_tags('script'),html_num_tags('embed'),html_num_tags('object'),html_num_tags('div'),html_num_tags('head'),html_num_tags('body'),html_num_tags('form'),html_num_tags('a'),html_num_tags('small'),html_num_tags('span'),html_num_tags('input'),html_num_tags('applet'),html_num_tags('img'),html_num_tags('video'),html_num_tags('audio'),repu
13,0,1,13,13,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0269868333592873,8,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,36,1,1,1,113,0,13,1,0,2,0,0,benign
5,0,1,5,5,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.321928094887362,2,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
14,0,1,14,14,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.521640636343318,8,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
13,0,1,13,13,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.238901256602631,9,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,341,1,1,1,156,0,72,2,0,26,0,0,benign
10,0,1,10,10,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.1219280948873624,3,3,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
17,0,1,17,17,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.6901165175936645,11,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,427,1,1,5,237,0,165,20,0,16,0,0,benign
8,0,1,8,8,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.75,5,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,735,1,1,2,151,0,212,13,0,62,0,0,benign
10,0,1,10,10,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.3219280948873626,6,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,373,1,1,5,137,0,160,13,0,24,2,0,benign
12,0,1,12,12,0,0.0,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3.084962500721156,6,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,354,1,1,2,172,0,230,9,0,78,0,0,benign
12,0,1,12,12,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.188721875540867,8,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,25,1,1,0,16,0,2,0,0,42,0,0,benign
13,0,1,13,13,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.3927474104487847,8,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,5,1,1,0,1,0,0,0,0,0,0,0,benign
8,0,1,8,8,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.75,6,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,543,1,1,0,197,0,175,0,0,235,0,0,benign
9,0,1,9,9,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.94770277922009,4,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,209,1,1,3,126,0,54,5,0,43,0,0,benign
9,0,1,9,9,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.94770277922009,5,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,153,1,1,1,121,0,101,5,0,0,1,0,benign
13,0,1,13,13,0,0.0,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3.0269868333592873,7,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,138,1,1,1,16,0,24,8,0,10,0,0,benign
10,0,1,10,10,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.1219280948873624,6,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,42,1,1,0,15,0,1,0,0,3,0,0,benign
8,0,1,8,8,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,5,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,171,1,1,0,315,0,26,0,0,44,0,0,benign
10,0,1,10,10,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.721928094887362,5,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,162,1,1,0,189,0,68,0,0,31,0,0,benign
13,0,1,13,13,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0850551027564768,8,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,benign
10,0,1,10,10,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.9219280948873623,6,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,201,1,1,0,68,0,35,0,0,9,0,0,benign
19,0,1,19,19,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.4058222502856905,11,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
13,0,1,13,13,0,0.0,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3.0269868333592873,7,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,138,1,1,1,16,0,24,8,0,10,0,0,benign
13,0,1,13,13,0,0.0,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3.0269868333592873,5,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,138,1,1,1,16,0,24,8,0,10,0,0,benign
12,0,1,12,12,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.2516291673878226,8,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
9,0,1,9,9,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.5032583347756456,5,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,138,1,1,1,16,0,24,8,0,10,0,0,benign
12,0,1,12,12,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.4182958340544896,8,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,726,1,1,2,398,0,51,5,0,123,0,0,benign
16,0,1,16,16,0,0.0,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3.202819531114783,9,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,39,1,1,1,15,0,2,5,0,0,0,0,benign
9,0,1,9,9,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.169925001442312,6,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,1217,1,1,4,398,0,178,5,0,143,0,0,benign
12,0,1,12,12,0,0.0,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.8553885422075336,5,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,138,1,1,1,16,0,24,8,0,10,0,0,benign
9,0,1,9,9,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.94770277922009,4,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
10,0,1,10,10,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.6854752972273344,6,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,170,1,1,0,78,0,25,0,0,45,0,0,benign
14,0,1,14,14,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.2359263506290326,9,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,48,1,1,0,357,0,197,0,0,0,0,0,benign
12,0,1,12,12,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.2516291673878226,6,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,1,39,0,0,701,1,1,1,49,0,68,1,0,0,0,0,benign
8,0,1,8,8,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.4056390622295662,6,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,benign
11,0,1,11,11,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0271691184406184,7,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,342,1,1,0,127,0,194,0,0,67,0,0,benign
9,0,1,9,9,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.94770277922009,4,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,530,1,1,2,259,0,310,11,0,120,0,0,benign
13,0,1,13,13,0,0.0,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3.0269868333592873,6,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,138,1,1,1,16,0,24,8,0,10,0,0,benign
9,0,1,9,9,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.725480556997868,4,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,317,1,1,2,156,0,168,8,0,56,0,0,benign
21,0,1,21,21,0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.403989446485262,12,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
13,0,1,13,13,0,0.0,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3.0269868333592873,7,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,138,1,1,1,16,0,24,8,0,10,0,0,benign
